product_name	packaging	brands	categories_tags	ingredients_text	nutriscore_grade	ecoscore_grade
Rôti filet de porc marrons et girolles	Barquette plastique sous film transparent	Maître Jacques	en:meats-and-their-products,en:meats,en:pork,en:pork-roasts	Filet de porc 64%, farce 14% (viande de porc, viande de dinde, marrons 6%, foie de poulet, lait, oeuf, girolles 3.6%, oignon, raisin sec (raisin, huile végétale). acidifiant E326, sel,chapelure (gluten) arômes et arômes naturels, dextrose, conservateurs : sel nitrité et E301, sirop de glucose, saccharose, épices et plantes aromatiques. Armagnac (Armagnac, sel, arôme naturel), rhum  (rhum, sel, arôme naturel), Porto (Porto rouge (sulfites), sel), persil), crépine (acidifiant : E260, E270 et E330), beurre ail (beurre 82.3%, persil 8%, ail 7%, sel, poivre blanc), marrons 3%, oignons, girolles 2%, romarin.	c	e
Boudin noir aux pommes x2			en:meats-and-their-products,en:meats,en:prepared-meats,en:fish-and-meat-and-eggs,en:offals,fr:boudins,en:tripe-dishes,en:black-pudding,en:black-pudding-with-appel,en:sauteed-black-pudding	Oignons frais, sang de porc, gras de porc, compote de pommes 18% (purée de pommes concentrée 9%, morceaux de Granny Smith (min 5,4%), sirop de glucose-fructose, sucre), couenne de porc, sel, aromates, épices. saccharose, arômes naturels. Enveloppe : boyau naturel de porc	d	b
Almejitas Herbidas	Lata	Crown prince	en:seafood,es:almejas	ALMEJITAS, AGUA, SAL REFINADA COMÚN, ÁCIDO CITICO REGULADOR DEL PH), EDTA DISODICO DEL CALCIO (AGENTE BLANQUEADOR	b	unknown
6 Aiguillettes de Poulet	Plastique, Frais	La Nouvelle Agriculture	en:meats-and-their-products,en:meats,en:chicken-and-its-products,en:poultries,en:chickens,fr:aiguillettes-de-poulet	Aiguillettes de poulet	a	c
Aiguillettes de Poulet	Plastique, Frais	La Nouvelle Agriculture	en:meats-and-their-products,en:meats,en:chicken-and-its-products,en:poultries,en:chickens,fr:aiguillettes-de-poulet	Aiguillettes de poulet	a	c
Cuisse de poulet	Plastique, Barquette	La nouvelle agriculture	en:meats-and-their-products,en:meats,en:chicken-and-its-products,en:poultries,en:chickens,en:chicken-thighs	cuisse de poulet	b	c
Tender & juicy young turkey			en:meats-and-their-products,en:meats,en:poultries	Turkey broth, salt, sodium phosphate, sugar, flavoring.	a	unknown
Ruprecht Irish Stew	Cardboard,Box,PP - Polypropylene,Container,Plastic,Bag	Ruprecht,Kilcoy Global Foods	en:meats-and-their-products,en:meals,en:meals-with-meat,en:beef-dishes,en:beef-stews,en:stews	Beef, Vegetable Mix (Potatoes, Carrots, Onions) Natural Beef Gravy ((Water, Maltodextrin, Corn Starch, Yeast Extract, Beef Fat, Tomato Powder, Onion Powder, Dried Beef Broth, Sugar, Mushroom Powder, Wine Solids, Spices), Tamari _Soy_ Sauce (Water, _Soybeans_, Salt), Gum Blend (Mono & Diglycerides, Xanthan Gum, Guar Gum), Beef Flavor (Roasted Beef including Beef Juices, Beef Flavor, Potato Flour, Corn Oil, Paprika), Tapioca Starch, Molasses), Sea Salt, Carlic, Parsley, Turnip Powder	a	unknown
velouté fruix	Carton	danone	en:dairies,en:fermented-foods,en:desserts,en:fermented-milk-products,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:flavoured-yogurts	yaourt (lait) (84,6%), sucre (8,2% en moyenne), fruits (5%) (abricot, framboise, fraise, pêche), épaississant (E1422), correcteurs d'acidité (E330, E331), concentrés de carotte et de pomme (dans variétés pêche et abricot), concentrés de carotte et de carotte pourpre (dans variété fraise), concentré de carotte pourpre (dans variété framboise), arômes.	c	a
Tomme de chevre		Boucherie Andre	en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:goat-cheeses,fr:tomme-de-chevre	oucheri andré DU PRC TOMME CHEVRE PYRENEE 34% MRT, GR, - COUPE Origine: Pyrénées Rttantiques; Croûte non consommable résure animale. ferments Ingrédients Lait de chèvre pasteurisé, sel. Lactiques. colorants de croûte . E150c. E160g E 153, conservateur de croûte : E235	e	e
